Message,Label,Source,Language
"頒獎典禮Logistic Helper (Whatsapp Michael #67730274 Apply)
 日期及時間:
 [11月24日]: 上午 9:00 至 下午 6:00
 [11月25日]: 上午 9:00 至 下午 6:00
 [11月28日]: 晚上 11:00 至 凌晨 3:00
 [11月29日]: 上午 07:00 至 下午 3:00
 地點: 啟德 (半室外地方)
 時薪: $100 (凌晨 12:00 後：時薪 x 1.5（即 $150/小時))
 交通津貼: 收工時間晚於凌晨 12:30，將提供額外 $100 交通津貼
 服飾要求: 素色舒適衣著及長褲波鞋
 職責: 負責場地佈置工作，包括搬運、安裝同整理設備
 要求: 韓文語音水平必須達到 TOPIK II 5 級或以上 ; 能應付大量體力勞動",normal,IG,zh
"頒獎典禮佈置員 (Whatsapp Michael #67730274 Apply)
 日期及時間:
 [11月25日]: 上午 9:00 至 下午 6:00
 [11月28日]: 上午 8:00 至 中午 12:00
 [11月29日]: 上午 07:00 至 下午 3:00
 地點: 啟德 (半室外地方)
 時薪: $70
 全勤獎金：$5/小時 (返到2日或以上並且於獲安排工作日無任何遲到、早退或缺勤)
 服飾要求: 素色舒適衣著及長褲波鞋
 職責: 負責場地佈置工作，包括搬運、安裝同整理設備
 要求: 能應付體力勞動",normal,IG,zh
"投注戶口開戶大使(AA) (請連同CV及近照Whatsapp Justin#6382 3875申請)
 日期：大部份星期二,四,六
 地點：將軍澳
 時間：13:30 - 19:30
 時薪: $90 (另設有銷售bonus)
 職責: 協助主辦方為入場人仕開設及登記投注戶口
 要求: 有跑數/馬會工作經驗優先",normal,IG,zh
"職位：倉務員
 地區：粉嶺
 日期：10月31日-11月15日
 時間：21:00-06:00
 工作內容：分件，芒膠，執貨
 工作要求：18歲或以上，需有倉務經驗
 人工： $680/日 💰即日出糧 (唔包飯鐘)
 whatsapp電話：67562551",normal,IG,zh
"職位：包裝助理(男)
 地區：元朗科技中心
 日期：11月3-6日
 時間：09:00-18:00
 工作內容：主要做包裝(手錶)，及搬貨上落等
 衣著要求：男士優先 有包裝經驗及返哂優先（可坐 有冷氣 簡單易做）
 人工： $60/hr (不包飯鐘)
 whatsapp電話：67562551",normal,IG,zh
"兼職實習
 職位：Risk Management Trainee
 時薪：$80-$100
 工作內容：接觸客戶、風險評估、數據模擬、風險對沖
 地點：觀塘
 返工模式：一星期兩天或以上、每周報更（星期一至六）
 1000-1400/1000-1600
 1400-1800/1400-2000
 對象：大專生及大學生
 有意申請WhatsApp聯絡方生：62649164",normal,IG,zh
"Event Assistant (Part Time) (歡迎大學生)
 職責：
 - 協助活動進行
 - 提供優質客戶服務
 - 為客人提供服務並協助他們使用 Photobooth
 - 負責搬運 Photobooth 器材
 - 設置 Photobooth 並提供技術支援
 
 入職要求：
 - 優先考慮在校大學生，副學士或高級文憑以上學歷 (應屆畢業生或相關工作經驗較淺者也會獲考慮)
 - 提供在職培訓，優先考慮可長期工作候選人
 - 具有強烈的責任感和守時
 - 性格外向好動及健談
 - 良好溝通能力及服務態度
 - 主動、友善、有禮，有責任感及團隊精神
 - 操流利廣東話及一般英語
 - 如果您已經有一份全職工作，將不予考慮
 
 工作類型: 兼職
 薪酬： 每小時 $75 - $90
 工作時間： 能夠每週工作2-3天（通常安排在下午到晚間，以配合活動時間表）
 
 福利：
 - 晉升機會
 - 超時加班費
 - 超時交通津貼
 
 請將您的CV 和身份照片(非必須的)發送 5592 1580",normal,IG,zh
"招聘年輕Promoter(信用卡推廣💳)
 
 *要求：能獨立工作，要跑數，薪金可達每日$1500或以上，每日1小時有薪飯鐘*
 *18-40歲，主動積極，室內工作*
 
 17-23/11 旺角
 17-20,22-23/11 北角
 22/11 觀塘
 17-20/11葵芳
 19/11 南昌
 17/11 屯門
 時間 : 12pm-9pm
 薪金 : $90/hr+佣金
 
 職責 : 於藥妝店內叫人申請信用卡
 要求 : 醒目，守時，整潔儀容，積極主動
 衣著 : 上身有外套提供，下身自備黑長褲+白波鞋
 
 如有意請whatsapp近照到56887266並註明年齡高度體重報邊日邊區",normal,IG,zh
"港島商場活動招聘年輕Helper
 
 *要求20-35歲，唔怕小動物*
 
 日期 : 11月23日(日)
 時間 : 1230-1830
 地點 : 銅鑼灣
 時薪 : $80/hr
 
 職責 : 協助活動順利進行
 要求 : 黑髮，化妝，積極主動，守時
 衣著 : 上身有衫提供，下身自備黑長褲白波鞋
 
 如有意請WhatsApp近照到56887266並註明年齡",normal,IG,zh
"romoter/ 傳單派發員 (Whatsapp Andrea #92385633 申請)
 日期: 10月2日 (銅鑼灣/金鐘)
 時薪:$65-70
 服飾: 黑衫黑長褲 (無logo)
 職責: 幫大型連鎖個人護理店派發宣傳品
 時間: 1200-1800 (6小時)
 歡迎家庭主婦, 退休人士,學生,散更",normal,IG,zh
"傳單派發員/Promoter (Whatsapp Andrea #92385633 申請)
 時薪: $65-70 (視地點而定)
 
 日期: 10月2-4,6日
 香港: 銅鑼灣/金鐘/中環
 九龍: 尖沙咀/紅磡/旺角/ 佐敦道
 新界: 荃灣/天水圍/元朗/屯門/沙田/ 上水
 
 日期: 10月5日
 新界: 大埔/元朗/上水
 
 服飾: 黑衫黑長褲 (無logo)
 職責: 幫大型連鎖個人護理店派發宣傳品
 時間: 1200-1800 (6小時)
 歡迎家庭主婦, 退休人士,學生,散更",normal,IG,zh
"門票銷售員 (Whatsapp Klitus #97280269 申請)
 日期：10月23-27日 (星期三至日)
 時間：10月23日: 17:00 - 23:00
 10月24-27日: 11:30 - 23:00 (有薪45分鐘飯鐘*2)
 地點：中環
 時薪：$80+10(Bonus: 返足全期, 無遲到早退, 冇被投訴)
 另設有積效獎金可達$850
 職責：門票銷售推廣
 要求：守時有禮， 有責任心，有跑數/銷售經驗, 可全期上班優先
 申請時請附上簡歷及近照",normal,IG,zh
"活動小助手 (Whatsapp Klitus #97280269 連同近照申請)
 日期：10月25 - 11月3
 時間：9:15 - 18:15
 地點： 沙田科學園
 時薪：$70+10(Bonus: 返足全期, 無遲到早退, 無被投訴者)
 職責：迎賓, 協助攤位運作, 贈送紀念品 和 人群控制
 要求：大專或以上, 守時有禮, 有責任心, 必須返足全期
 請連同CV 及 近照申請",normal,IG,zh
"(短期) 項目助理 /Project Assistant (Whatsapp Joan #59275108 申請)
 日期：9月25日起至11月22日
 時間：星期一至五, 09:00-18:00
 時薪：$70 (返足全期$80/hr)
 地點：灣仔會展
 職責：協助專案經理進行展覽項目, 為團隊提供行政支援, 處理活動參與者的詢問並承擔現場職責, 處理一般查詢等
 要求：良好中英文, 懂MS office, 積極主動",normal,IG,zh
"Booth Assistant (Whatsapp Taner #90222762 連同CV近照申請)
 日期 :9月17-18日 (星期二三)
 地點: 尖沙咀星光大道
 時間: 1400-2200 (1小時有薪飯鐘)
 時薪: $90/hr
 職責: 推廣銷售飾物/邀請客人追蹤IG/FB
 衣著: 自備純白色 T-shirt , 黑色牛仔長褲, 波鞋
 要求: 守時唔甩底, 有Promoter/CS/Sales相關經驗優先考慮",normal,IG,zh
"Promoter (Whatsapp Joan #59275108申請)
 日期：9月13,14,15,17,18日
 時間：12:00 - 20:00 ( 一小時有薪飯鐘)
 時薪：$70+10(Bonus：沒有遲到，早退，缺席或者被投訴)
 地點：銅鑼灣
 職責：協助派發試飲產品，推廣品牌
 要求：必須返足全期
 
 申請時請附上近照",normal,IG,zh
"大型活動 Event Helper (Whatsapp Taner #90222762 連同近照CV申請)
 日期 :9月21日 (星期六)
 地點: 銅鑼灣
 時間: 0600-1300/0700-1300
 時薪: $75-85/hr (視乎開工時間)
 職責: 提供顧客服務/協助活動運作/人流管制
 衣著: 自備純白色 T-shirt , 黑色牛仔長褲, 白波鞋
 要求: 守時唔甩底, 良好中英文, 有CS相關經驗優先考慮
 
 請提交以下申請資料：1. 照片 2. 履歷 3. 30秒英文自我介紹音頻",normal,IG,zh
"(全職) 智能產品推廣員 (大量) (WhatsApp Andrea #92385633 申請)
 優厚獎金, 月薪可達$2.5萬-3.2萬
 入職首3個月薪金保證: $19,000 - 20,000 /月
 工時: 一星期工作六天，每天工作八小時
 職責: 銷售智能產品; 提供售前售後服務
 要求:歡迎無銷售經驗者, 中五/文憑學歷程度
 福利: 有薪銀行假期17天、婚假、恩恤假、醫療保險(包括牙科)、强積金、在職培訓
 奬金: 勤工奬金、銷售佣金、額外獎金、服務獎金",normal,IG,zh
"AWE 展覽活動CS Assistant (Whatsapp Johnny#97818831申請)
 日期及時間:
 6 Sep 1430-2130/ 1430-2330
 地點: 亞洲博覽館
 時薪: $70(包飯包飯鐘)
 職責: 在場地內解答客人查詢
 要求: 必須年滿18歲, 自備純黑色西褲/西裙, 純黑色皮鞋,白恤衫, 黑西裝外套, 頭髮必須是深黑/深啡 之後日子按活動日自由報更, 日子愈多愈優先考慮",normal,IG,zh
"中型貨車司機 (Whatsapp Adam #6382 3875 連同CV及近照申請)
 日期: 10月起
 時間: 07:15-16:15 / 08:30-17:30
 地點: 青衣
 日薪: $1000/per shift
 職責: 駕駛16噸貨車、負責到各區收集化學品 運送至廠房
 要求: 持有中型貨車駕駛執照(18號牌)、駕駛紀錄良好、接受體力勞動工作",normal,IG,zh
"馬會-餐飲工作 (Whatsapp Klitus #97280269申請)
 日期：9月8 - 25日(自由報更)
 時間：08:30-23:30內(6-8小時) (包飯及半小時飯鐘)
 地點：跑馬地/沙田馬埸
 時薪: 快餐侍應 $70 ; 侍應 $89.5 ; 收銀 $71
 （工作後3個工作天過數）",normal,IG,zh
"活力宣傳大使 (Whatsapp Janice#6620 6697申請)
 日期: 9月14-15&18, 10月1
 時間: 15:00 - 17:00 (2 hours)
 地點: 將軍澳
 時薪: $100/h
 服飾: 短裙+T-shirt(公司提供)
 職責：宣傳商場社交媒體, 協助來客訂閱並LIKE商場社交媒體, 送出贈品
 要求：積極主動, 守時及有責任心, 全期返到優先考慮
 
 申請時請提供1.身高 2.體重 3.半身以及全身照 4.Comp Card 5.可上班日期",normal,IG,zh
"油塘 小米之家 $70/hr (包飯鐘)
 AGE <40
 衣著 深色淨色 波鞋
 髮色 深色 (可啡)
 識電子產品, 手錶, 耳機ETC
 識小米 呢個BRAND
 -
 時間:
 10:00-19:00 / 11:00-20:00 / 12:00-22:00 (可返13:00)
 
 12月份
 25-27號
 每日2-3個人
 28-31號
 每日要4-5個人",normal,IG,zh
"PROMOTER 💰 時薪 : $90-100 (視乎經驗及返工穩定性)
 
 🏢工作地點：石門
 🕒工作時間：星期一至五 11:00-19:00，星期六 紅日 10:00-18:00
 📅工作內容：派發傳單 推廣品牌
 
 👚衣著要求：純色恤衫 黑褲 鞋 (斯文溫暖感覺)
 
 💡要求：對美容有興趣有認識 儀表端莊 樂天主動 喜歡聊天",normal,IG,zh
"遊戲大使💰 時薪 : $60
 
 🏢工作地點：荔枝角
 🕒工作時間：22,23,25,25/12 10:45-19:45 11:45-20:45 12:15-21:15
 📅工作內容：室內遊樂場維持小朋友安全 開關VR遊戲 ; 協助樂園內店務工作 ; 簡單消毒場地
 
 👚衣著要求：有提供上身及襪，自備黑色長褲+波鞋
 
 💡要求：18歲或以上",normal,IG,zh
"文員 💰 時薪 : $75 (包飯鐘)
 
 🏢工作地點：香港大學西寶城
 🕒工作時間：星期一至日 (一星期返5日或以上) ，07:30-15:30 / 12:00-20:00
 📅工作內容：一般文書工作，及需幫忙接聽客戶查詢電話 📞
 
 💡要求：需懂得 Excel、Word，中英文打字 ✍️，具備中英文溝通及書寫能力 🗣✉️",normal,IG,zh
"葵涌 坐鏟手（要有牌）
 夜班 21:30-08:30
 $900
 直接WhatsApp: 62736674",normal,IG,zh
"急需2個男工
 配料員$600
 08:30-17:30有廠車
 WhatsApp 62736674",normal,IG,zh
"觀塘 大量生產員 *包膳食* 有冷氣
 時間:
 早7am-5pm / 7:30am-5:30pm(男/女）
 中13：00-23：00 (只限男)
 
 日薪 : $ 600星期二，五出 / $640兩個禮拜
 
 工作內容：負責生產點心、糕點程序
 
 適合人選：男女均可，65歲以下，有廚房經驗優先
 
 直接WhatsApp/打電話: 62736674
 簡易連結：
 https://wa.me/85262736674?text=觀塘生產員",normal,IG,zh
