Message,Label,Source
Hi 我係 Mandy～而家急聘網上打字員📝 屋企用手機打手稿圖片，日薪 $600-$1800💰 1000字=$200，任務自己揀！入職即領任務，包教會🤝 即刻加 WhatsApp 了解：+852 6134 7791,fraud,IG
"【遠程文員招聘】主要打啲舊文件入電腦，4-5小時搞掂 $800+💸 無經驗都得，有老師一對一教！只限香港人，有興趣回 ""1"" 入群：https://chat.whatsapp.com/ABC123",fraud,IG
"Hello 我係 Kelly，見到你 JobsDB 履歷好啱做！而家有兼職網購助理，日薪最高 $2500🤑 模擬落單幫商戶衝銷量，完成即過數！回覆 ""OK"" 我加你入任務群",fraud,IG
急聘 IG 任務員📱 每日幫品牌點 Like + 轉發，30分鐘 $300！多勞多得，屋企手機搞掂～有意 WhatsApp：+852 9788 2210 即刻出糧,fraud,IG
"【在家賺錢】打字員招募中！主要打中英對照文件，1000字=$220，任務每日更新，無時間限制⏰ 入職免費培訓，香港居民優先，回 ""打字"" 入群",fraud,IG
"Hi 我係 Iris～見你 LinkedIn 資料好 professional！而家有遠程數據整理工，日薪 $700-$2000💰 用 Excel 抄啲產品資料，WFH 彈性時間！回 ""有興趣"" 加群",fraud,IG
【YouTube 推廣員】每日訂閱 50 個指定頻道，$15/個，一日輕鬆賺 $750+📈 完成任務即過支付寶！加 WhatsApp 領取頻道清單：+852 5110 3344,fraud,IG
"網店銷售助理（遠程）模擬購買提升排名，每單佣金 $80-$200💵 無需自己出錢，平台墊付！有意回 ""購物"" 入官方任務群",fraud,IG
打工妹注意啦！而家招打字員📝 主要打手寫藥單，準確率 95% 以上，1000字=$250！日結 Alipay/WeChat，屋企手機打得！WhatsApp：+852 6339 1102,fraud,IG
"Hello, this is Sarah from HR Dept. We found your CV on Indeed. Part-time online reviewer needed, $500-1500/day, review apps & write comments. Reply ""REVIEW"" to join.",fraud,IG
"【電商刷單員】幫網店刷評價+落單，每單 $60-$180💰 平台先墊錢，你唔使畀！完成即過 FPS，平均日賺 $1200+，回 ""刷單"" 入群",fraud,IG
急聘 Telegram 任務員📲 每日轉發 20 條廣告訊息，$20/條，一小時 $400！多做多得，無上限～加 @HKTask2025 領取任務,fraud,IG
"Hi 我係 Olivia～而家有新項目：幫內地品牌喺 HK01 點擊廣告，提升曝光率🔥 每點擊 $8，一日 200 click = $1600！即日結算，回 ""點擊"" 入群",fraud,IG
【在家兼職】主要幫公司登記客戶資料入系統，4小時 $900💸 無經驗都教，香港身份證優先！WhatsApp 領表格：+852 9777 5533,fraud,WhatsApp
"Hello I’m Jason, we’re hiring remote purchase assistants. Simulate buying on Shopee/Lazada, earn $100-300 per order. Platform reimburses 100%. Reply ""BUY"" to proceed.",fraud,WhatsApp
打字員招募！主要打古籍影印本，1000字=$230，任務每日發放📥 支援手機 WPS / 記事本，完成即過微信紅包！加群：https://t.me/HKTypingJob,fraud,WhatsApp
"【IG 成長助理】每日幫客戶 IG 帳號 Like + Comment，$12/個，一日 100 個 = $1200💰 自動化工具教學，屋企手機搞掂！回 ""IG"" 入任務群",fraud,WhatsApp
"Hi 我係 Amy～見你 JobsDB 資料好 detail-oriented！而家有遠程核對工：比對網店訂單同物流，準確率高有 bonus，日薪 $800+💵 回 ""核對"" 加群",fraud,WhatsApp
"【模擬購物員】幫淘寶店衝銷量，每單佣金 $90-$250💸 平台墊付商品+運費，完成即退款+佣金！香港人限定，回 ""淘寶"" 入群",fraud,WhatsApp
急聘 WhatsApp 客服（遠程）回覆標準訊息模板，時薪 $120🕒 每日 3-4 小時，屋企用手機得！培訓 1 日即上手，WhatsApp：+852 5443 9987,fraud,WhatsApp
"【YouTube 觀看員】每日觀看指定影片 30 分鐘，$400/日📺 幫頻道衝 watch time，多看多賺！完成過支付寶，回 ""觀看"" 入群",fraud,WhatsApp
